# Time-averaged data for fix msd2
# TimeStep Number-of-rows
# Row c_comp2
1 0.000783572
2 0.000778388
3 0.000788751
4 0.00235071
31900 4
1 0.000789828
2 0.000784541
3 0.000785339
4 0.00235971
32000 4
1 0.000791094
2 0.000792714
3 0.000776754
4 0.00236056
32100 4
1 0.000791912
2 0.000801044
3 0.000785685
4 0.00237864
32200 4
1 0.000792006
2 0.000799818
3 0.000785793
4 0.00237762
32300 4
1 0.000804643
2 0.00079854
3 0.000794247
4 0.00239743
32400 4
1 0.000801135
2 0.000783682
3 0.000798703
4 0.00238352
32500 4
1 0.00080986
2 0.00079962
3 0.00080982
4 0.0024193
32600 4
1 0.000815551
2 0.000795626
3 0.000813081
4 0.00242426
32700 4
1 0.000820052
2 0.000804088
3 0.000792666
4 0.00241681
32800 4
1 0.000819924
2 0.00081845
3 0.0008035
4 0.00244187
32900 4
1 0.000816252
2 0.000815024
3 0.000804873
4 0.00243615
33000 4
1 0.000823818
2 0.000827629
3 0.000812066
4 0.00246351
33100 4
1 0.000831528
2 0.000825421
3 0.000811507
4 0.00246846
33200 4
1 0.000810507
2 0.000822591
3 0.000813357
4 0.00244646
33300 4
1 0.00083683
2 0.00083583
3 0.000821514
4 0.00249417
33400 4
1 0.000836491
2 0.000839026
3 0.000830538
4 0.00250605
33500 4
1 0.000837562
2 0.000828448
3 0.000839871
4 0.00250588
33600 4
1 0.000846338
2 0.00083024
3 0.000839345
4 0.00251592
33700 4
1 0.000840213
2 0.000846439
3 0.000837768
4 0.00252442
33800 4
1 0.000853875
2 0.000834784
3 0.000833488
4 0.00252215
33900 4
1 0.000851432
2 0.000842726
3 0.000852145
4 0.0025463
34000 4
1 0.000859215
2 0.000852592
3 0.00084786
4 0.00255967
34100 4
1 0.00085218
2 0.000856206
3 0.000847418
4 0.0025558
34200 4
1 0.00085117
2 0.000865695
3 0.000860639
4 0.0025775
34300 4
1 0.000861687
2 0.000875052
3 0.000857191
4 0.00259393
34400 4
1 0.000872963
2 0.000864984
3 0.000871122
4 0.00260907
34500 4
1 0.000864045
2 0.000891523
3 0.000870747
4 0.00262632
34600 4
1 0.000885542
2 0.000873515
3 0.000884291
4 0.00264335
34700 4
1 0.000881855
2 0.000893102
3 0.000880583
4 0.00265554
34800 4
1 0.000893581
2 0.000886529
3 0.00088018
4 0.00266029
34900 4
1 0.000892412
2 0.000902215
3 0.000882946
4 0.00267757
35000 4
1 0.000895842
2 0.000892821
3 0.000888581
4 0.00267724
35100 4
1 0.00091012
2 0.000901707
3 0.000893873
4 0.0027057
35200 4
1 0.000916511
2 0.000898415
3 0.000910209
4 0.00272513
35300 4
1 0.000910357
2 0.000900571
3 0.000908347
4 0.00271927
35400 4
1 0.000912502
2 0.000918883
3 0.000915641
4 0.00274703
35500 4
1 0.00092275
2 0.000919016
3 0.000916751
4 0.00275852
35600 4
1 0.00093613
2 0.000913991
3 0.000929978
4 0.0027801
35700 4
1 0.000937821
2 0.000944201
3 0.000919029
4 0.00280105
35800 4
1 0.000938728
2 0.000946519
3 0.00093552
4 0.00282077
35900 4
1 0.00094983
2 0.000954944
3 0.000936963
4 0.00284174
36000 4
1 0.000949423
2 0.000953217
3 0.000945563
4 0.0028482
36100 4
1 0.000971204
2 0.000963439
3 0.000955422
4 0.00289007
36200 4
1 0.000964236
2 0.000973285
3 0.000983621
4 0.00292114
36300 4
1 0.000977954
2 0.000961183
3 0.000969138
4 0.00290828
36400 4
1 0.000988645
2 0.000990486
3 0.000997986
4 0.00297712
36500 4
1 0.000984968
2 0.000978574
3 0.00098769
4 0.00295123
36600 4
1 0.00100023
2 0.000986266
3 0.000986268
4 0.00297277
36700 4
1 0.0010155
2 0.00101473
3 0.00101033
4 0.00304056
36800 4
1 0.00101196
2 0.00101793
3 0.00100471
4 0.0030346
36900 4
1 0.00102753
2 0.00102311
3 0.00100071
4 0.00305135
37000 4
1 0.00104218
2 0.00104045
3 0.00103234
4 0.00311496
37100 4
1 0.00104879
2 0.00105118
3 0.00103518
4 0.00313515
37200 4
1 0.00106553
2 0.00104672
3 0.00106606
4 0.00317831
37300 4
1 0.00106949
2 0.00105803
3 0.00106348
4 0.003191
37400 4
1 0.00108565
2 0.00105967
3 0.00106461
4 0.00320993
37500 4
